ortho,type,post90,cgram,genre,nombre,infover,lemme
envoûtement,1,envoutement,NOM,m,s,,envoûtement
envoûtements,1,envoutements,NOM,m,p,,envoûtement
envoûter,1,envouter,VER,,,inf;,envoûter
envoûteras,1,envouteras,VER,,,ind:fut:2s;,envoûter
envoûteur,1,envouteur,NOM,m,s,,envoûteur
envoûteurs,1,envouteurs,NOM,m,p,,envoûteur
envoûté,1,envouté,VER,m,s,par:pas;,envoûter
envoûté,1,envouté,ADJ,m,s,,envoûté
envoûtée,1,envoutée,VER,f,s,par:pas;,envoûter
envoûtée,1,envoutée,ADJ,f,s,,envoûté
envoûtées,1,envoutées,VER,f,p,par:pas;,envoûter
envoûtés,1,envoutés,VER,m,p,par:pas;,envoûter
envoûtés,1,envoutés,ADJ,m,p,,envoûté
espérerai,1,espèrerai,VER,,,ind:fut:1s;,espérer
espérerais,1,espèrerais,VER,,,cnd:pre:1s;,espérer
espérerait,1,espèrerait,VER,,,cnd:pre:3s;,espérer
essuie-mains,2,essuie-main/essuie-mains,NOM,m,,,essuie-mains
ex-libris,1,exlibris,NOM,m,,,ex-libris
ex-maître,1,ex-maitre,NOM,m,s,,ex-maître
ex-quincaillier,1,ex-quincailler,NOM,m,s,,ex-quincaillier
ex-strip-teaseuse,1,ex-stripteaseuse,NOM,f,s,,ex-strip-teaseur
ex-voto,2,exvoto/exvotos,NOM,m,,,ex-voto
exagérerais,1,exagèrerais,VER,,,cnd:pre:1s;,exagérer
exagérerait,1,exagèrerait,VER,,,cnd:pre:3s;,exagérer
exagérerons,1,exagèrerons,VER,,,ind:fut:1p;,exagérer
exaspérera,1,exaspèrera,VER,,,ind:fut:3s;,exaspérer
exaspéreraient,1,exaspèreraient,VER,,,cnd:pre:3p;,exaspérer
exaspérerait,1,exaspèrerait,VER,,,cnd:pre:3s;,exaspérer
excrétera,1,excrètera,VER,,,ind:fut:3s;,excréter
excédera,1,excèdera,VER,,,ind:fut:3s;,excéder
exeat,2,exéat/exéats,NOM,m,,,exeat
exequatur,2,exéquatur/exéquaturs,NOM,m,,,exequatur
exiguë,1,exigüe,ADJ,f,s,,exigu
exiguës,1,exigües,ADJ,f,p,,exigu
exiguïté,1,exigüité,NOM,f,s,,exiguïté
exonérera,1,exonèrera,VER,,,ind:fut:3s;,exonérer
fac-similé,1,facsimilé,VER,m,s,par:pas;,fac-similer
fac-similé,1,facsimilé,NOM,m,s,,fac-similé
fac-similés,1,facsimilés,NOM,m,p,,fac-similé
fair-play,1,fairplay,ADJ,m,s,,fair-play
fair-play,2,fairplay/fairplays,NOM,m,,,fair-play
fait-tout,2,faitout/faitouts,NOM,m,,,fait-tout
faînes,1,faines,NOM,m,p,,faîne
faîtage,1,faitage,NOM,m,s,,faîtage
faîtages,1,faitages,NOM,m,p,,faîtage
faîte,1,faite,NOM,m,s,,faîte
faîtes-la-moi,1,faites-la-moi,NOM,m,p,,faîtes-la-moi
faîtière,1,faitière,ADJ,f,s,,faîtier
faîtière,1,faitière,NOM,f,s,,faîtière
faîtières,1,faitières,ADJ,f,p,,faîtier
ferries,1,ferrys,NOM,m,p,,ferry
feuillette,1,feuillète,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,feuilleter
feuillette,1,feuillète,NOM,f,s,,feuillette
feuillettement,1,feuillètement,NOM,m,s,,feuillettement
feuillettent,1,feuillètent,VER,,,ind:pre:3p;,feuilleter
feuillettes,1,feuillètes,VER,,,ind:pre:2s;,feuilleter
feuillettes,1,feuillètes,NOM,f,p,,feuillette
ficellerait,1,ficèlerait,VER,,,cnd:pre:3s;,ficeler
flûta,1,fluta,VER,,,ind:pas:3s;,flûter
flûte,1,flute,NOM,f,s,,flûte
flûter,1,fluter,VER,,,inf;,flûter
flûtes,1,flutes,NOM,f,p,,flûte
flûtiau,1,flutiau,NOM,m,s,,flûtiau
flûtiste,1,flutiste,NOM,,s,,flûtiste
flûtistes,1,flutistes,NOM,,p,,flûtiste
flûté,1,fluté,ADJ,m,s,,flûté
flûtée,1,flutée,VER,f,s,par:pas;,flûter
flûtée,1,flutée,ADJ,f,s,,flûté
flûtés,1,flutés,ADJ,m,p,,flûté
fourre-tout,1,fourretout,ADJ,,s,,fourre-tout
fourre-tout,2,fourretout/fourretouts,NOM,m,,,fourre-tout
fraîche,1,fraiche,ADJ,f,s,,frais
fraîche,1,fraiche,NOM,f,s,,frais
fraîchement,1,fraichement,ADV,,,,fraîchement
fraîches,1,fraiches,ADJ,f,p,,frais
fraîches,1,fraiches,NOM,f,p,,frais
fraîcheur,1,fraicheur,NOM,f,s,,fraîcheur
fraîcheurs,1,fraicheurs,NOM,f,p,,fraîcheur
fraîchi,1,fraichi,VER,m,s,par:pas;,fraîchir
fraîchir,1,fraichir,VER,,,inf;,fraîchir
fraîchira,1,fraichira,VER,,,ind:fut:3s;,fraîchir
fraîchissait,1,fraichissait,VER,,,ind:imp:3s;,fraîchir
fraîchissant,1,fraichissant,VER,,,par:pre;,fraîchir
fraîchissent,1,fraichissent,VER,,,ind:pre:3p;,fraîchir
fraîchit,1,fraichit,VER,,,ind:pre:3s;ind:pas:3s;,fraîchir
frou-frou,1,froufrou,NOM,m,s,,frou-frou
frous-frous,1,froufrous,NOM,m,p,,frou-frou
fumerolles,1,fumeroles,NOM,f,p,,fumerolle
féveroles,1,fèveroles,NOM,f,p,,féverole
fût,1,fut,NOM,m,s,,fût
fûts,1,futs,NOM,m,p,,fût
gageure,1,gageüre,NOM,f,s,,gageure
gageures,1,gageüres,NOM,f,p,,gageure
gagne-pain,2,gagne-pain/gagne-pains,NOM,m,,,gagne-pain
gagne-petit,2,gagne-petit/gagne-petits,NOM,m,,,gagne-petit
garde-boue,2,garde-boue/garde-boues,NOM,m,,,garde-boue
garde-feu,2,garde-feu/garde-feux,NOM,m,,,garde-feu
garde-meuble,2,garde-meuble/garde-meubles,NOM,m,,,garde-meuble
garde-meubles,2,garde-meuble/garde-meubles,NOM,m,,,garde-meubles
garde-vue,2,garde-vue/garde-vues,NOM,m,,,garde-vue
gardes-barrières,1,garde-barrières,NOM,,p,,garde-barrières
gardes-chasse,1,garde-chasse,NOM,m,s,,gardes-chasse
gardes-chiourme,1,garde-chiourmes,NOM,m,p,,garde-chiourme
gardes-chiourmes,1,garde-chiourmes,NOM,,p,,garde-chiourme
gardes-côtes,1,garde-côtes,NOM,m,p,,garde-côtes
gardes-françaises,1,garde-françaises,NOM,m,p,,garde-française
gardes-frontières,1,garde-frontières,NOM,m,p,,garde-frontières
gardes-voies,1,garde-voies,NOM,m,p,,garde-voie
gaîment,1,gaiment,ADV,,,,gaîment
gaîté,1,gaité,NOM,f,s,,gaîté
gaîtés,1,gaités,NOM,f,p,,gaîté
gelinotte,1,gélinotte,NOM,f,s,,gelinotte
girolle,1,girole,NOM,f,s,,girolle
girolles,1,giroles,NOM,f,p,,girolle
globe-trotter,1,globetrotteur,NOM,m,s,,globe-trotter
globe-trotters,1,globetrotteurs,NOM,m,p,,globe-trotter
gobe-mouches,2,gobe-mouche/gobe-mouches,NOM,m,,,gobe-mouches
gobette,1,gobète,VER,,,ind:pre:3s;,gobeter
goulûment,1,goulument,ADV,,,,goulûment
goût,1,gout,NOM,m,s,,goût
goûta,1,gouta,VER,,,ind:pas:3s;,goûter
goûtables,1,goutables,ADJ,m,p,,goûtable
goûtai,1,goutai,VER,,,ind:pas:1s;,goûter
goûtaient,1,goutaient,VER,,,ind:imp:3p;,goûter
goûtais,1,goutais,VER,,,ind:imp:1s;ind:imp:2s;,goûter
goûtait,1,goutait,VER,,,ind:imp:3s;,goûter
goûtant,1,goutant,VER,,,par:pre;,goûter
goûte,1,goute,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;,goûter
goûtent,1,goutent,VER,,,ind:pre:3p;,goûter
goûter,1,gouter,NOM,m,s,,goûter
goûter,1,gouter,VER,,,inf;,goûter
goûtera,1,goutera,VER,,,ind:fut:3s;,goûter
goûterai,1,gouterai,VER,,,ind:fut:1s;,goûter
goûterais,1,gouterais,VER,,,cnd:pre:1s;cnd:pre:2s;,goûter
goûterait,1,gouterait,VER,,,cnd:pre:3s;,goûter
goûteras,1,gouteras,VER,,,ind:fut:2s;,goûter
goûterez,1,gouterez,VER,,,ind:fut:2p;,goûter
goûterons,1,gouterons,VER,,,ind:fut:1p;;,goûter
goûteront,1,gouteront,VER,,,ind:fut:3p;,goûter
goûters,1,gouters,NOM,m,p,,goûter
goûteur,1,gouteur,NOM,m,s,,goûteur
goûteuse,1,gouteuse,NOM,f,s,,goûteur
goûteuse,1,gouteuse,ADJ,f,s,,goûteux
goûteuses,1,gouteuses,ADJ,f,p,,goûteux
goûteux,1,gouteux,ADJ,m,s,,goûteux
goûtez,1,goutez,VER,,,imp:pre:2p;ind:pre:2p;,goûter
goûtiez,1,goutiez,VER,,,ind:imp:2p;,goûter
goûtions,1,goutions,VER,,,ind:imp:1p;,goûter
goûtons,1,goutons,VER,,,imp:pre:1p;ind:pre:1p;,goûter
goûts,1,gouts,NOM,m,p,,goût
goûtâmes,1,goutâmes,VER,,,ind:pas:1p;,goûter
goûtèrent,1,goutèrent,VER,,,ind:pas:3p;,goûter
goûté,1,gouté,VER,m,s,par:pas;,goûter
goûtée,1,goutée,VER,f,s,par:pas;,goûter
goûtées,1,goutées,VER,f,p,par:pas;,goûter
goûtés,1,goutés,VER,m,p,par:pas;,goûter
graffiti,2,graffiti/graffitis,NOM,m,,,graffiti
graffito,1,graffiti,NOM,m,s,,graffito
grand-maître,1,grand-maitre,NOM,m,s,,grand-maître
gratte-ciel,2,gratte-ciel/gratte-ciels,NOM,m,,,gratte-ciel
gratte-cul,2,gratte-cul/gratte-culs,NOM,m,,,gratte-cul
gratte-papier,2,gratte-papier/gratte-papiers,NOM,m,,,gratte-papier
gratte-pieds,2,gratte-pied/gratte-pieds,NOM,m,,,gratte-pieds
grenelle,1,grenèle,VER,,,imp:pre:2s;,greneler
gri-gri,1,grigri,NOM,m,s,,gri-gri
grille-pain,2,grille-pain/grille-pains,NOM,m,,,grille-pain
gris-gris,1,grigris,NOM,m,,,gris-gris
grivelle,1,grivèle,VER,,,ind:pre:3s;,griveler
grolle,1,grole,NOM,f,s,,grolle
grolles,1,groles,NOM,f,p,,grolle
grommelle,1,grommèle,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,grommeler
grommellement,1,grommèlement,NOM,m,s,,grommellement
grommellements,1,grommèlements,NOM,m,p,,grommellement
grommellent,1,grommèlent,VER,,,ind:pre:3p;,grommeler
grommellerait,1,grommèlerait,VER,,,cnd:pre:3s;,grommeler
guibolle,1,guibole,NOM,f,s,,guibolle
guibolles,1,guiboles,NOM,f,p,,guibolle
gérera,1,gèrera,VER,,,ind:fut:3s;,gérer
gérerai,1,gèrerai,VER,,,ind:fut:1s;,gérer
gérerais,1,gèrerais,VER,,,cnd:pre:1s;,gérer
gérerez,1,gèrerez,VER,,,ind:fut:2p;,gérer
géreriez,1,gèreriez,VER,,,cnd:pre:2p;,gérer
gîta,1,gita,VER,,,ind:pas:3s;,gîter
gîtait,1,gitait,VER,,,ind:imp:3s;,gîter
gîte,1,gite,ADJ,m,s,,gîte
gîte,1,gite,NOM,,s,,gîte
gîtent,1,gitent,VER,,,ind:pre:3p;,gîter
gîter,1,giter,VER,,,inf;,gîter
gîtera,1,gitera,VER,,,ind:fut:3s;,gîter
gîtes,1,gites,NOM,m,p,,gîte
gîté,1,gité,VER,m,s,par:pas;,gîter
hache-paille,1,hache-pailles,NOM,m,p,,hache-paille
hand-ball,1,handball,NOM,m,s,,hand-ball
hara-kiri,1,harakiri,NOM,m,s,,hara-kiri
haut-parleur,1,hautparleur,NOM,m,s,,haut-parleur
haut-parleurs,1,hautparleurs,NOM,m,p,,haut-parleur
hoquette,1,hoquète,VER,,,ind:pre:3s;sub:pre:3s;,hoqueter
hors-bord,1,hors-bords,NOM,m,p,,hors-bord
hors-jeu,2,hors-jeu/hors-jeux,NOM,m,,,hors-jeu
hors-piste,1,hors-pistes,NOM,m,p,,hors-piste
hot-dog,1,hotdog,NOM,m,s,,hot-dog
hot-dogs,1,hotdogs,NOM,m,p,,hot-dog
huître,1,huitre,NOM,f,s,,huître
huîtres,1,huitres,NOM,f,p,,huître
huîtrier,1,huitrier,NOM,m,s,,huîtrier
huîtriers,1,huitriers,NOM,m,p,,huîtrier
huîtrière,1,huitrière,NOM,f,s,,huîtrière
hébétement,1,hébètement,NOM,m,s,,hébétement
impresario,1,imprésario,NOM,m,s,,impresario
impresarios,1,imprésarios,NOM,m,p,,impresario
in-folio,2,in-folio/in-folios,NOM,m,,,in-folio
in-octavo,2,in-octavo/in-octavos,NOM,m,,,in-octavo
in-quarto,2,in-quarto/in-quartos,NOM,m,,,in-quarto
indécelable,1,indècelable,ADJ,,s,,indécelable
indécelables,1,indècelables,ADJ,,p,,indécelable
indûment,1,indument,ADV,,,,indûment
inquiétera,1,inquiètera,VER,,,ind:fut:3s;,inquiéter
inquiéterai,1,inquièterai,VER,,,ind:fut:1s;,inquiéter
inquiéteraient,1,inquièteraient,VER,,,cnd:pre:3p;,inquiéter
inquiéterais,1,inquièterais,VER,,,cnd:pre:1s;cnd:pre:2s;,inquiéter
inquiéterait,1,inquièterait,VER,,,cnd:pre:3s;,inquiéter
inquiéteras,1,inquièteras,VER,,,ind:fut:2s;,inquiéter
inquiéteriez,1,inquièteriez,VER,,,cnd:pre:2p;,inquiéter
inquiéteront,1,inquièteront,VER,,,ind:fut:3p;,inquiéter
insérera,1,insèrera,VER,,,ind:fut:3s;,insérer
insérerait,1,insèrerait,VER,,,cnd:pre:3s;,insérer
insérerons,1,insèrerons,VER,,,ind:fut:1p;,insérer
intercédera,1,intercèdera,VER,,,ind:fut:3s;,intercéder
intercéderai,1,intercèderai,VER,,,ind:fut:1s;,intercéder
interpella,1,interpela,VER,,,ind:pas:3s;,interpeller
interpellai,1,interpelai,VER,,,ind:pas:1s;,interpeller
interpellaient,1,interpelaient,VER,,,ind:imp:3p;,interpeller
interpellais,1,interpelais,VER,,,ind:imp:1s;,interpeller
interpellait,1,interpelait,VER,,,ind:imp:3s;,interpeller
interpeller,1,interpeler,VER,,,inf;,interpeller
interpellez,1,interpelez,VER,,,imp:pre:2p;ind:pre:2p;,interpeller
interpellèrent,1,interpelèrent,VER,,,ind:pas:3p;,interpeller
interpellé,1,interpelé,VER,m,s,par:pas;,interpeller
interpellée,1,interpelée,VER,f,s,par:pas;,interpeller
interpellées,1,interpelées,VER,f,p,par:pas;,interpeller
interpellés,1,interpelés,VER,m,p,par:pas;,interpeller
interprétera,1,interprètera,VER,,,ind:fut:3s;,interpréter
interpréteraient,1,interprèteraient,VER,,,cnd:pre:3p;,interpréter
interpréterait,1,interprèterait,VER,,,cnd:pre:3s;,interpréter
interpréteriez,1,interprèteriez,VER,,,cnd:pre:2p;,interpréter
intégrera,1,intègrera,VER,,,ind:fut:3s;,intégrer
intégrerais,1,intègrerais,VER,,,cnd:pre:1s;cnd:pre:2s;,intégrer
intégreras,1,intègreras,VER,,,ind:fut:2s;,intégrer
intégrerez,1,intègrerez,VER,,,ind:fut:2p;,intégrer
intégreront,1,intègreront,VER,,,ind:fut:3p;,intégrer
jazzmen,1,jazzmans,NOM,m,p,,jazzman
jean-foutre,2,jeanfoutre/jeanfoutres,NOM,m,,,jean-foutre
jeûna,1,jeuna,VER,,,ind:pas:3s;,jeûner
jeûnaient,1,jeunaient,VER,,,ind:imp:3p;,jeûner
jeûnait,1,jeunait,VER,,,ind:imp:3s;,jeûner
jeûnant,1,jeunant,VER,,,par:pre;,jeûner
jeûnent,1,jeunent,VER,,,ind:pre:3p;,jeûner
jeûner,1,jeuner,VER,,,inf;,jeûner
jeûnerai,1,jeunerai,VER,,,ind:fut:1s;,jeûner
jeûnerait,1,jeunerait,VER,,,cnd:pre:3s;,jeûner
jeûneras,1,jeuneras,VER,,,ind:fut:2s;,jeûner
jeûnerons,1,jeunerons,VER,,,ind:fut:1p;,jeûner
jeûneurs,1,jeuneurs,NOM,m,p,,jeûneur
jeûnez,1,jeunez,VER,,,imp:pre:2p;ind:pre:2p;,jeûner
jeûné,1,jeuné,VER,m,s,par:pas;,jeûner
joaillier,1,joailler,NOM,m,s,,joaillier
joailliers,1,joaillers,NOM,m,p,,joaillier
jumellera,1,jumèlera,VER,,,ind:fut:3s;,jumeler
kibboutzim,1,kibboutz,NOM,m,p,,kibboutzim
laissés-pour-compte,1,laissés-pour-comptes,NOM,m,p,,laissés-pour-compte
lance-engins,2,lance-engin/lance-engins,NOM,m,,,lance-engins
lance-flammes,2,lance-flamme/lance-flammes,NOM,m,,,lance-flammes
lance-fusées,2,lance-fusée/lance-fusées,NOM,m,,,lance-fusées
lance-grenades,2,lance-grenade/lance-grenades,NOM,m,,,lance-grenades
lance-missiles,2,lance-missile/lance-missiles,NOM,m,,,lance-missiles
lance-pierres,2,lance-pierre/lance-pierres,NOM,m,,,lance-pierres
lance-roquettes,2,lance-roquette/lance-roquettes,NOM,m,,,lance-roquettes
lance-torpilles,2,lance-torpille/lance-torpilles,NOM,m,,,lance-torpilles
largo,1,largos,ADV,,,,largo
lave-linge,2,lave-linge/lave-linges,NOM,m,,,lave-linge
lave-mains,2,lave-main/lave-mains,NOM,m,,,lave-mains
lave-vaisselle,2,lave-vaisselle/lave-vaisselles,NOM,m,,,lave-vaisselle
laîche,1,laiche,NOM,f,s,,laîche
laîches,1,laiches,NOM,f,p,,laîche
leitmotive,1,leitmotivs,NOM,m,p,,leitmotive
libérera,1,libèrera,VER,,,ind:fut:3s;,libérer
libérerai,1,libèrerai,VER,,,ind:fut:1s;,libérer
libéreraient,1,libèreraient,VER,,,cnd:pre:3p;,libérer
libérerais,1,libèrerais,VER,,,cnd:pre:1s;cnd:pre:2s;,libérer
libérerait,1,libèrerait,VER,,,cnd:pre:3s;,libérer
libéreras,1,libèreras,VER,,,ind:fut:2s;,libérer
libérerez,1,libèrerez,VER,,,ind:fut:2p;,libérer
libérerons,1,libèrerons,VER,,,ind:fut:1p;,libérer
libéreront,1,libèreront,VER,,,ind:fut:3p;,libérer
lieder,1,lieds,NOM,m,p,,lied
lobbies,1,lobbys,NOM,m,p,,lobbies
lock-out,2,lockout/lockouts,NOM,m,,,lock-out
lèche-bottes,2,lèche-botte/lèche-bottes,NOM,m,,,lèche-bottes
lèche-vitrines,2,lèche-vitrine/lèche-vitrines,NOM,m,,,lèche-vitrines
lèse-majesté,2,lèse-majesté/lèse-majestés,NOM,f,,,lèse-majesté
léchera,1,lèchera,VER,,,ind:fut:3s;,lécher
lécherai,1,lècherai,VER,,,ind:fut:1s;,lécher
lécherais,1,lècherais,VER,,,cnd:pre:1s;cnd:pre:2s;,lécher
lécherait,1,lècherait,VER,,,cnd:pre:3s;,lécher
lécheras,1,lècheras,VER,,,ind:fut:2s;,lécher
lécheront,1,lècheront,VER,,,ind:fut:3p;,lécher
ma-jong,1,majong,NOM,m,s,,ma-jong
mange-tout,1,mangetout,ADJ,m,s,,mange-tout
mange-tout,2,mangetout/mangetouts,NOM,m,,,mange-tout
maraîcher,1,maraicher,NOM,m,s,,maraîcher
maraîchers,1,maraichers,NOM,m,p,,maraîcher
maraîchère,1,maraichère,NOM,f,s,,maraîcher
maraîchères,1,maraichères,NOM,f,p,,maraîcher
marguillier,1,marguiller,NOM,m,s,,marguillier
marguilliers,1,marguillers,NOM,m,p,,marguillier
mariolle,1,mariole,ADJ,m,s,,mariolle
mariolle,1,mariole,NOM,,s,,mariolle
mariolles,1,marioles,ADJ,f,p,,mariolle
mariolles,1,marioles,NOM,,p,,mariolle
marquette,1,marquète,VER,,,imp:pre:2s;ind:pre:3s;,marqueter
mass media,1,mass médias,NOM,m,p,,mass media
maxima,1,maximums,NOM,m,p,,maximum
maître,1,maitre,ADJ,m,s,,maître
maître,1,maitre,NOM,m,s,,maître
maître queux,1,maitre queux,NOM,m,s,,maître queux
maître-assistant,1,maitre-assistant,NOM,m,s,,maître-assistant
maître-autel,1,maitre-autel,NOM,m,s,,maître-autel
maître-chanteur,1,maitre-chanteur,ADJ,m,s,,maître-chanteur
maître-chanteur,1,maitre-chanteur,NOM,m,s,,maître-chanteur
maître-chien,1,maitre-chien,NOM,m,s,,maître-chien
maître-coq,1,maitre-coq,NOM,m,s,,maître-coq
maître-nageur,1,maitre-nageur,NOM,m,s,,maître-nageur
maître-à-danser,1,maitre-à-danser,NOM,m,s,,maître-à-danser
maîtres,1,maitres,ADJ,m,p,,maître
maîtres,1,maitres,NOM,m,p,,maître
maîtresse,1,maitresse,ADJ,f,s,,maître
maîtresse,1,maitresse,NOM,f,s,,maîtresse
maîtresses,1,maitresses,ADJ,f,p,,maître
maîtresses,1,maitresses,NOM,f,p,,maîtresse
maîtrisa,1,maitrisa,VER,,,ind:pas:3s;,maîtriser
maîtrisable,1,maitrisable,ADJ,f,s,,maîtrisable
maîtrisables,1,maitrisables,ADJ,,p,,maîtrisable
maîtrisaient,1,maitrisaient,VER,,,ind:imp:3p;,maîtriser
maîtrisais,1,maitrisais,VER,,,ind:imp:1s;ind:imp:2s;,maîtriser
maîtrisait,1,maitrisait,VER,,,ind:imp:3s;,maîtriser
maîtrisant,1,maitrisant,VER,,,par:pre;,maîtriser
maîtrise,1,maitrise,NOM,f,s,,maîtrise
maîtrise,1,maitrise,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,maîtriser
maîtrisent,1,maitrisent,VER,,,ind:pre:3p;,maîtriser
maîtriser,1,maitriser,VER,,,inf;,maîtriser
maîtrisera,1,maitrisera,VER,,,ind:fut:3s;,maîtriser
maîtriserai,1,maitriserai,VER,,,ind:fut:1s;,maîtriser
maîtriseraient,1,maitriseraient,VER,,,cnd:pre:3p;,maîtriser
maîtriserait,1,maitriserait,VER,,,cnd:pre:3s;,maîtriser
maîtriseras,1,maitriseras,VER,,,ind:fut:2s;,maîtriser
maîtriserez,1,maitriserez,VER,,,ind:fut:2p;,maîtriser
maîtriseriez,1,maitriseriez,VER,,,cnd:pre:2p;,maîtriser
maîtriserons,1,maitriserons,VER,,,ind:fut:1p;,maîtriser
maîtriseront,1,maitriseront,VER,,,ind:fut:3p;,maîtriser
maîtrises,1,maitrises,NOM,f,p,,maîtrise
maîtrises,1,maitrises,VER,,,ind:pre:2s;,maîtriser
maîtrisez,1,maitrisez,VER,,,imp:pre:2p;ind:pre:2p;,maîtriser
maîtrisiez,1,maitrisiez,VER,,,ind:imp:2p;,maîtriser
maîtrisions,1,maitrisions,VER,,,ind:imp:1p;sub:pre:1p;,maîtriser
maîtrisons,1,maitrisons,VER,,,imp:pre:1p;ind:pre:1p;,maîtriser
maîtrisèrent,1,maitrisèrent,VER,,,ind:pas:3p;,maîtriser
maîtrisé,1,maitrisé,VER,m,s,par:pas;,maîtriser
maîtrisé,1,maitrisé,ADJ,m,s,,maîtrisé
maîtrisée,1,maitrisée,VER,f,s,par:pas;,maîtriser
maîtrisée,1,maitrisée,ADJ,f,s,,maîtrisé
maîtrisées,1,maitrisées,VER,f,p,par:pas;,maîtriser
maîtrisées,1,maitrisées,ADJ,f,p,,maîtrisé
maîtrisés,1,maitrisés,VER,m,p,par:pas;,maîtriser
maîtrisés,1,maitrisés,ADJ,m,p,,maîtrisé
media,1,média,NOM,f,s,,media
mi-août,1,mi-aout,NOM,f,s,,mi-août
mi-cloître,1,mi-cloitre,NOM,m,s,,mi-cloître
mille-feuille,1,millefeuille,NOM,m,s,,mille-feuille
mille-feuilles,1,millefeuilles,NOM,m,p,,mille-feuille
mille-pattes,2,millepatte/millepattes,NOM,m,,,mille-pattes
mini-chaîne,1,mini-chaine,NOM,f,s,,mini-chaîne
minima,1,minimums,NOM,m,p,,minimum
modéreras,1,modèreras,VER,,,ind:fut:2s;,modérer
monte-charge,2,monte-charge/monte-charges,NOM,m,,,monte-charge
monte-plats,2,monte-plat/monte-plats,NOM,m,,,monte-plats
morcellement,1,morcèlement,NOM,m,s,,morcellement
morcellements,1,morcèlements,NOM,m,p,,morcellement
morcellent,1,morcèlent,VER,,,ind:pre:3p;,morceler
morcellera,1,morcèlera,VER,,,ind:fut:3s;,morceler
moto-cross,1,motocross,NOM,m,,,moto-cross
moût,1,mout,NOM,m,s,,moût
moûts,1,mouts,NOM,m,p,,moût
muguette,1,muguète,VER,,,imp:pre:2s;,mugueter
muselle,1,musèle,VER,,,imp:pre:2s;ind:pre:3s;,museler
musellerait,1,musèlerait,VER,,,cnd:pre:3s;,museler
muserolle,1,muserole,NOM,f,s,,muserolle
méconnaîtra,1,méconnaitra,VER,,,ind:fut:3s;,méconnaître
méconnaître,1,méconnaitre,VER,,,inf;,méconnaître
méli-mélo,1,mélimélo,NOM,m,s,,méli-mélo
mélis-mélos,1,mélimélos,NOM,m,p,,méli-mélo
mû,1,mu,VER,m,s,par:pas;,mouvoir
mûre,1,mure,NOM,f,s,,mûr
mûrement,1,murement,ADV,,,,mûrement
mûres,1,mures,NOM,f,p,,mûr
mûri,1,muri,VER,m,s,par:pas;,mûrir
mûrie,1,murie,VER,f,s,par:pas;,mûrir
mûrier,1,murier,NOM,m,s,,mûrier
mûriers,1,muriers,NOM,m,p,,mûrier
mûries,1,muries,VER,f,p,par:pas;,mûrir
mûrir,1,murir,VER,,,inf;,mûrir
mûrira,1,murira,VER,,,ind:fut:3s;,mûrir
mûriraient,1,muriraient,VER,,,cnd:pre:3p;,mûrir
mûrirez,1,murirez,VER,,,ind:fut:2p;,mûrir
mûris,1,muris,VER,m,p,imp:pre:2s;ind:pre:1s;ind:pre:2s;par:pas;,mûrir
mûrissaient,1,murissaient,VER,,,ind:imp:3p;,mûrir
mûrissait,1,murissait,VER,,,ind:imp:3s;,mûrir
mûrissant,1,murissant,VER,,,par:pre;,mûrir
mûrissant,1,murissant,ADJ,m,s,,mûrissant
mûrissante,1,murissante,ADJ,f,s,,mûrissant
mûrissantes,1,murissantes,ADJ,f,p,,mûrissant
mûrissants,1,murissants,ADJ,m,p,,mûrissant
mûrisse,1,murisse,VER,,,sub:pre:1s;sub:pre:3s;,mûrir
mûrissement,1,murissement,NOM,m,s,,mûrissement
mûrissements,1,murissements,NOM,m,p,,mûrissement
mûrissent,1,murissent,VER,,,ind:pre:3p;,mûrir
mûrisseries,1,murisseries,NOM,f,p,,mûrisserie
mûrit,1,murit,VER,,,ind:pre:3s;ind:pas:3s;,mûrir
mûron,1,muron,NOM,m,s,,mûron
naît,1,nait,VER,,,ind:pre:3s;,naître
naîtra,1,naitra,VER,,,ind:fut:3s;,naître
naîtrai,1,naitrai,VER,,,ind:fut:1s;,naître
naîtraient,1,naitraient,VER,,,cnd:pre:3p;,naître
naîtrait,1,naitrait,VER,,,cnd:pre:3s;,naître
naître,1,naitre,VER,,,inf;,naître
naîtrions,1,naitrions,VER,,,cnd:pre:1p;,naître
naîtront,1,naitront,VER,,,ind:fut:3p;,naître
nickelle,1,nickèle,VER,,,ind:pre:3s;,nickeler
nivelle,1,nivèle,VER,,,ind:pre:1s;,niveler
nivellement,1,nivèlement,NOM,m,s,,nivellement
nivellent,1,nivèlent,VER,,,ind:pre:3p;,niveler
non-événement,1,non-évènement,NOM,m,s,,non-événement
noroît,1,noroit,NOM,m,s,,noroît
nénuphar,1,nénufar,NOM,m,s,,nénuphar
nénuphars,1,nénufars,NOM,m,p,,nénuphar
oignon,1,ognon,NOM,m,s,,oignon
oignons,1,ognons,NOM,m,p,,oignon
opérera,1,opèrera,VER,,,ind:fut:3s;,opérer
opérerai,1,opèrerai,VER,,,ind:fut:1s;,opérer
opéreraient,1,opèreraient,VER,,,cnd:pre:3p;,opérer
opérerait,1,opèrerait,VER,,,cnd:pre:3s;,opérer
