ortho,type,post90,cgram,genre,nombre,infover,lemme
aînés,1,ainés,ADJ,m,p,,aîné
aînés,1,ainés,NOM,m,p,,aîné
aître,1,aitre,NOM,m,s,,aître
aîtres,1,aitres,NOM,m,p,,aître
barcarolle,1,barcarole,NOM,f,s,,barcarolle
barmen,1,barmans,NOM,m,p,,barman
base-ball,1,baseball,NOM,m,s,,base-ball
basket-ball,1,basketball,NOM,m,s,,basket-ball
basse-cour,1,bassecour,NOM,f,s,,basse-cour
basse-taille,1,bassetaille,NOM,f,s,,basse-taille
basses-cours,1,bassecours,NOM,f,p,,basse-cour
bat-flanc,2,bat-flanc/bat-flancs,NOM,m,,,bat-flanc
becquette,1,becquète,VER,,,imp:pre:2s;,becqueter
benoît,1,benoit,ADJ,m,s,,benoît
benoîte,1,benoite,ADJ,f,s,,benoît
benoîte,1,benoite,NOM,f,s,,benoîte
benoîtement,1,benoitement,ADV,,,,benoîtement
besaiguë,1,besaigüe,NOM,f,s,,besaiguë
besicles,1,bésicles,NOM,f,p,,besicles
bizuth,1,bizut,NOM,m,s,,bizuth
bla-bla,1,blabla,NOM,m,,,bla-bla
black-out,2,blackout/blackouts,NOM,m,,,black-out
blue-jean,1,bluejean,NOM,m,s,,blue-jean
blue-jeans,1,bluejeans,NOM,m,p,,blue-jean
bonhomie,1,bonhommie,NOM,f,s,,bonhomie
bossellement,1,bossèlement,NOM,m,s,,bossellement
bossellements,1,bossèlements,NOM,m,p,,bossellement
bottellent,1,bottèlent,VER,,,ind:pre:3p;,botteler
boui-boui,1,bouiboui,NOM,m,s,,boui-boui
bouis-bouis,1,bouibouis,NOM,m,p,,boui-boui
boursouflaient,1,boursoufflaient,VER,,,ind:imp:3p;,boursoufler
boursouflait,1,boursoufflait,VER,,,ind:imp:3s;,boursoufler
boursoufle,1,boursouffle,VER,,,ind:pre:3s;,boursoufler
boursouflement,1,boursoufflement,NOM,m,s,,boursouflement
boursoufler,1,boursouffler,VER,,,inf;,boursoufler
boursouflure,1,boursoufflure,NOM,f,s,,boursouflure
boursouflures,1,boursoufflures,NOM,f,p,,boursouflure
boursouflé,1,boursoufflé,VER,m,s,par:pas;,boursoufler
boursouflé,1,boursoufflé,ADJ,m,s,,boursouflé
boursouflée,1,boursoufflée,VER,f,s,par:pas;,boursoufler
boursouflée,1,boursoufflée,ADJ,f,s,,boursouflé
boursouflées,1,boursoufflées,VER,f,p,par:pas;,boursoufler
boursouflées,1,boursoufflées,ADJ,f,p,,boursouflé
boursouflés,1,boursoufflés,VER,m,p,par:pas;,boursoufler
boursouflés,1,boursoufflés,ADJ,m,p,,boursouflé
boute-en-train,2,boutentrain/boutentrains,NOM,m,,,boute-en-train
boxes,1,box,NOM,f,p,,boxe
boxes,1,box,VER,,,ind:pre:2s;,boxer
boîte,1,boite,NOM,f,s,,boîte
boîtes,1,boites,NOM,f,p,,boîte
boîtes-repas,1,boites-repas,NOM,f,p,,boîte-repas
boîtier,1,boitier,NOM,m,s,,boîtier
boîtiers,1,boitiers,NOM,m,p,,boîtier
branle-bas,1,branlebas,NOM,m,,,branle-bas
brasero,1,braséro,NOM,m,s,,brasero
braseros,1,braséros,NOM,m,p,,brasero
brise-bise,2,brise-bise/brise-bises,NOM,m,,,brise-bise
brise-fer,2,brise-fer/brise-fers,NOM,m,,,brise-fer
brise-glace,2,brise-glace/brise-glaces,NOM,m,,,brise-glace
brise-jet,2,brise-jet/brise-jets,NOM,m,,,brise-jet
brise-vent,2,brise-vent/brise-vents,NOM,m,,,brise-vent
brunches,1,brunchs,NOM,m,p,,brunch
brûla,1,brula,VER,,,ind:pas:3s;,brûler
brûlage,1,brulage,NOM,m,s,,brûlage
brûlai,1,brulai,VER,,,ind:pas:1s;,brûler
brûlaient,1,brulaient,VER,,,ind:imp:3p;,brûler
brûlais,1,brulais,VER,,,ind:imp:1s;ind:imp:2s;,brûler
brûlait,1,brulait,VER,,,ind:imp:3s;,brûler
brûlant,1,brulant,ADJ,m,s,,brûlant
brûlant,1,brulant,VER,,,par:pre;,brûler
brûlante,1,brulante,ADJ,f,s,,brûlant
brûlantes,1,brulantes,ADJ,f,p,,brûlant
brûlants,1,brulants,ADJ,m,p,,brûlant
brûlasse,1,brulasse,VER,,,sub:imp:1s;,brûler
brûlassent,1,brulassent,VER,,,sub:imp:3p;,brûler
brûle,1,brule,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;,brûler
brûle-gueule,1,brule-gueule,NOM,m,s,,brûle-gueule
brûlent,1,brulent,VER,,,ind:pre:3p;,brûler
brûler,1,bruler,VER,,,inf;;,brûler
brûlera,1,brulera,VER,,,ind:fut:3s;,brûler
brûlerai,1,brulerai,VER,,,ind:fut:1s;,brûler
brûleraient,1,bruleraient,VER,,,cnd:pre:3p;,brûler
brûlerais,1,brulerais,VER,,,cnd:pre:1s;cnd:pre:2s;,brûler
brûlerait,1,brulerait,VER,,,cnd:pre:3s;,brûler
brûleras,1,bruleras,VER,,,ind:fut:2s;,brûler
brûlerez,1,brulerez,VER,,,ind:fut:2p;,brûler
brûlerons,1,brulerons,VER,,,ind:fut:1p;,brûler
brûleront,1,bruleront,VER,,,ind:fut:3p;,brûler
brûles,1,brules,VER,,,ind:pre:2s;sub:pre:2s;,brûler
brûleur,1,bruleur,NOM,m,s,,brûleur
brûleurs,1,bruleurs,NOM,m,p,,brûleur
brûleuse,1,bruleuse,NOM,f,s,,brûleur
brûlez,1,brulez,VER,,,imp:pre:2p;ind:pre:2p;,brûler
brûliez,1,bruliez,VER,,,ind:imp:2p;,brûler
brûlions,1,brulions,VER,,,ind:imp:1p;,brûler
brûlis,1,brulis,NOM,m,,,brûlis
brûloirs,1,bruloirs,NOM,m,p,,brûloir
brûlons,1,brulons,VER,,,imp:pre:1p;ind:pre:1p;,brûler
brûlot,1,brulot,NOM,m,s,,brûlot
brûlots,1,brulots,NOM,m,p,,brûlot
brûlure,1,brulure,NOM,f,s,,brûlure
brûlures,1,brulures,NOM,f,p,,brûlure
brûlât,1,brulât,VER,,,sub:imp:3s;,brûler
brûlèrent,1,brulèrent,VER,,,ind:pas:3p;,brûler
brûlé,1,brulé,VER,m,s,par:pas;par:pas;par:pas;,brûler
brûlé,1,brulé,ADJ,m,s,,brûlé
brûlé,1,brulé,NOM,m,s,,brûlé
brûlée,1,brulée,VER,f,s,par:pas;,brûler
brûlée,1,brulée,ADJ,f,s,,brûlé
brûlée,1,brulée,NOM,f,s,,brûlé
brûlées,1,brulées,VER,f,p,par:pas;,brûler
brûlées,1,brulées,ADJ,f,p,,brûlé
brûlées,1,brulées,NOM,f,p,,brûlé
brûlés,1,brulés,VER,m,p,par:pas;,brûler
brûlés,1,brulés,ADJ,m,p,,brûlé
brûlés,1,brulés,NOM,m,p,,brûlé
bélître,1,bélitre,NOM,m,s,,bélître
bûchais,1,buchais,VER,,,ind:imp:1s;,bûcher
bûchant,1,buchant,VER,,,par:pre;,bûcher
bûche,1,buche,NOM,f,s,,bûche
bûche,1,buche,VER,,,ind:pre:1s;ind:pre:3s;,bûcher
bûchent,1,buchent,VER,,,ind:pre:3p;,bûcher
bûcher,1,bucher,NOM,m,s,,bûcher
bûcher,1,bucher,VER,,,inf;,bûcher
bûcheron,1,bucheron,NOM,m,s,,bûcheron
bûcheronne,1,bucheronne,VER,,,ind:pre:3s;,bûcheronner
bûcheronner,1,bucheronner,VER,,,inf;,bûcheronner
bûcherons,1,bucherons,VER,,,ind:fut:1p;,bûcher
bûcherons,1,bucherons,NOM,m,p,,bûcheron
bûchers,1,buchers,NOM,m,p,,bûcher
bûches,1,buches,NOM,f,p,,bûche
bûches,1,buches,VER,,,ind:pre:2s;,bûcher
bûchette,1,buchette,NOM,f,s,,bûchette
bûchettes,1,buchettes,NOM,f,p,,bûchette
bûcheur,1,bucheur,ADJ,m,s,,bûcheur
bûcheur,1,bucheur,NOM,m,s,,bûcheur
bûcheurs,1,bucheurs,ADJ,m,p,,bûcheur
bûcheurs,1,bucheurs,NOM,m,p,,bûcheur
bûcheuse,1,bucheuse,NOM,f,s,,bûcheur
bûcheuses,1,bucheuses,NOM,f,p,,bûcheur
bûchez,1,buchez,VER,,,imp:pre:2p;ind:pre:2p;,bûcher
bûché,1,buché,VER,m,s,par:pas;,bûcher
cache-brassière,2,cache-brassière/cache-brassières,NOM,m,,,cache-brassière
cache-cache,2,cache-cache/cache-caches,NOM,m,,,cache-cache
cache-col,2,cache-col/cache-cols,NOM,m,,,cache-col
cache-corset,2,cache-corset/cache-corsets,NOM,m,,,cache-corset
cache-poussière,2,cache-poussière/cache-poussières,NOM,m,,,cache-poussière
cache-sexe,2,cache-sexe/cache-sexes,NOM,m,,,cache-sexe
cache-tampon,2,cache-tampon/cache-tampons,NOM,m,,,cache-tampon
cahute,1,cahutte,NOM,f,s,,cahute
cahutes,1,cahuttes,NOM,f,p,,cahute
call-girl,1,callgirl,NOM,f,s,,call-girl
call-girls,1,callgirls,NOM,f,p,,call-girl
cameraman,1,caméraman,NOM,m,s,,cameraman
cameramen,1,caméramans,NOM,m,p,,cameraman
caquette,1,caquète,VER,,,ind:pre:1s;ind:pre:3s;,caqueter
caquettent,1,caquètent,VER,,,ind:pre:3p;,caqueter
casse-croûte,1,casse-croute,NOM,m,s,,casse-croûte
casse-graine,2,casse-graine/casse-graines,NOM,m,,,casse-graine
casse-gueule,2,casse-gueule/casse-gueules,NOM,m,,,casse-gueule
casse-noisettes,2,casse-noisette/casse-noisettes,NOM,m,,,casse-noisettes
casse-pattes,2,casse-patte/casse-pattes,NOM,m,,,casse-pattes
casse-pipes,2,casse-pipe/casse-pipes,NOM,m,,,casse-pipes
casse-tête,2,casse-tête/casse-têtes,NOM,m,,,casse-tête
chancelle,1,chancèle,VER,,,ind:pre:1s;ind:pre:3s;,chanceler
chancellent,1,chancèlent,VER,,,ind:pre:3p;,chanceler
chariot,1,charriot,NOM,m,s,,chariot
chariots,1,charriots,NOM,m,p,,chariot
chasse-mouches,2,chasse-mouche/chasse-mouches,NOM,m,,,chasse-mouches
chasse-neige,2,chasse-neige/chasse-neiges,NOM,m,,,chasse-neige
chasse-pierres,2,chasse-pierre/chasse-pierres,NOM,m,,,chasse-pierres
chauffe-eau,2,chauffe-eau/chauffe-eaux,NOM,m,,,chauffe-eau
chauffe-plats,2,chauffe-plat/chauffe-plats,NOM,m,,,chauffe-plats
chausse-trappe,1,chaussetrappe,NOM,f,s,,chausse-trappe
