ortho,phon,lemme
mourront,muRR§,mourir
nerver,nERve,
pacsés,pakse,pacsé
pâlement,pal°m@,
palle,pal,
préchauffer,pReSofe,
quadrillion,kwadRilj§,quadrillion
quadrumane,kwadRyman,
quadrupède,kwadRypEd,
quadrupèdes,kwadRypEd,quadrupède
quadrupla,kwadRypla,quadrupler
quadruplait,kwadRyplE,quadrupler
quadruple,kwadRypl,
quadruples,kwadRypl,quadruple
quantique,kantik,
quantiques,kantik,quantique
quinquennat,k5kena,
quintuplé,k5typle,
râleux,Ral2,
receler,R°sele,receler
receleur,R°sel9R,receleur
receleurs,R°sel9R,receleur
receleuse,R°sel2z,receleur
receleuses,R°sel2z,receleur
recelé,R°sele,receler
recelée,R°sele,receler
recelées,R°sele,receler
recelés,R°sele,receler
refréner,RefRene,
refrénerait,RefRen°RE,refréner
refréné,RefRene,refréner
refrénés,RefRene,refréner
remerciâmes,R°mERsjam,
réutilisation,Reytilizasj§,
rezzou,rEdzu,
rezzous,rEdzu,rezzou
romancero,Rom@seRo,romancero
schproum,SpRum,
sombreros,s§bReRo,sombrero
spirochète,spiROkEt,spirochète
succion,syksj§,
succions,syksj§,succion
surconsomme,syRk§sOm,surconsommer
surdimensionné,syRdim@sjone,surdimensionner
télétexte,teletEkst,
transsexualisme,tR@sseksyalizm,
transsexuelle,tR@sseksyEl,transsexuel
transsubstantiation,tR@ssypst@sjasj§,
#,,choix d'une autre prononciation
myxoedémateuse,miksedemat2z,myxoedémateux
oecuménique,ekymenik,
oecuméniques,ekymenik,oecuménique
oecuménisme,ekymenizm,
oedipe,edip,
oedipien,edipj5,
oedipienne,edipjEn,oedipien
oedème,edEm,
oedèmes,edEm,oedème
oenologie,enoloZi,
oenologique,enoloZik,
oenologues,enolOg,oenologue
oenophile,enofil,
oenothera,enotRa,
oenothère,enotER,
oesophage,ezofaZ,
oesophages,ezofaZ,oesophage
oesophagien,ezofaZj5,
oesophagienne,ezofaZjEn,oesophagien
oesophagiennes,ezofaZjEn,oesophagien
oestrogène,estRoZEn,
oestrogènes,estRoZEn,oestrogène
oscilla,osila,osciller
oscillai,osilE,osciller
oscillaient,osilE,osciller
oscillais,osilE,osciller
oscillait,osilE,osciller
oscillant,osil@,oscillant
oscillante,osil@t,oscillant
oscillants,osil@,oscillant
oscillateur,osilat9R,oscillateur
oscillation,osilasj§,oscillation
oscillations,osilasj§,oscillation
oscillatoire,osilatwaR,oscillatoire
oscillatoires,osilatwaR,oscillatoire
oscille,osil,osciller
oscillent,osil,osciller
osciller,osile,osciller
oscillez,osile,osciller
oscillographe,osilogRaf,oscillographe
oscillomètre,osilomEtR,oscillomètre
oscilloscope,osiloskOp,oscilloscope
oscillèrent,osilER,osciller
oscillé,osile,osciller
villa,vila,
villas,vila,villa
