#ligne,Grafie initiale,Lème,Catégorie,Raison,Grafie modifiée
333,affilier,affilier,v.tr.,1,afilier
334,affiloir,affiloir,n.m.,1,afiloir
335,affin,affin,adj.,1,afin
335,affine,affin,adj.,1,afine
336,affinage,affinage,n.m.,1,afinage
337,affine,affine,adj.,1,afine
338,affinement,affinement,n.m.,1,afinement
339,affiner,affiner,v.tr.,1,afiner
340,affinerie,affinerie,n.f.,1,afinerie
341,affineur,affineur,n.,1,afineur
341,affineuse,affineur,n.,1,afineuse
342,affinité,affinité,n.f.,1,afinité
343,affiquet,affiquet,n.m.,1,afiquet
344,affirmatif,affirmatif,adj.,1,afirmatif
344,affirmative,affirmatif,adj.,1,afirmative
344,affirmatif,affirmatif,adv.,1,afirmatif
345,affirmation,affirmation,n.f.,1,afirmation
346,affirmativement,affirmativement,adv.,1,afirmativement
347,affirmer,affirmer,v.tr.,1,afirmer
348,affixal,affixal,adj.,1,afixal
348,affixale,affixal,adj.,1,afixale
348,affixaux,affixal,adj.,1 2,afixaus
349,affixe,affixe,n.f.,1,afixe
350,affixe,affixe,n.m.,1,afixe
351,affleurement,affleurement,n.m.,1,afleurement
352,affleurer,affleurer,v.,1,afleurer
353,afflictif,afflictif,adj.,1,aflictif
353,afflictive,afflictif,adj.,1,aflictive
354,affliction,affliction,n.f.,1,afliction
355,affligeant,affligeant,adj.,1,afligeant
355,affligeante,affligeant,adj.,1,afligeante
356,affliger,affliger,v.tr.,1,afliger
357,afflouer,afflouer,v.tr.,1,aflouer
358,affluence,affluence,n.f.,1,afluence
359,affluent,affluent,n.m.,1,afluent
360,affluer,affluer,v.intr.,1,afluer
361,afflux,afflux,n.m.,1 2,aflus
362,affolant,affolant,adj.,1,afolant
362,affolante,affolant,adj.,1,afolante
363,affolé,affolé,adj.,1,afolé
363,affolée,affolé,adj.,1,afolée
364,affolement,affolement,n.m.,1,afolement
365,affoler,affoler,v.tr.,1,afoler
366,affouage,affouage,n.m.,1,afouage
367,affouagiste,affouagiste,n.m.,1,afouagiste
368,affouillement,affouillement,n.m.,1,afouillement
369,affouiller,affouiller,v.tr.,1,afouiller
370,affouragement,affouragement,n.m.,1,afouragement
371,affourager,affourager,v.tr.,1,afourager
372,affourcher,affourcher,v.tr.,1,afourcher
373,affranchi,affranchi,adj.,1,afranchi
373,affranchie,affranchi,adj.,1,afranchie
373,affranchi,affranchi,n.,1,afranchi
373,affranchie,affranchi,n.,1,afranchie
374,affranchir,affranchir,v.tr.,1,afranchir
375,affranchissement,affranchissement,n.m.,1,afranchissement
376,affres,affres,n.f.pl.,1,afres
377,affrètement,affrètement,n.m.,1,afrètement
378,affréter,affréter,v.tr.,1,afréter
379,affréteur,affréteur,n.m.,1,afréteur
380,affreusement,affreusement,adv.,1,afreusement
381,affreux,affreux,adj.,1 2,afreus
381,affreuse,affreux,adj.,1,afreuse
382,affriander,affriander,v.tr.,1,afriander
383,affriolant,affriolant,adj.,1,afriolant
383,affriolante,affriolant,adj.,1,afriolante
384,affrioler,affrioler,v.tr.,1,afrioler
385,affriquée,affriquée,adj.f.,1,afriquée
386,affront,affront,n.m.,1,afront
387,affrontement,affrontement,n.m.,1,afrontement
388,affronter,affronter,v.tr.,1,afronter
389,affublement,affublement,n.m.,1,afublement
390,affubler,affubler,v.tr.,1,afubler
391,affusion,affusion,n.f.,1,afusion
392,affut,affut,n.m.,1,afut
393,affutage,affutage,n.m.,1,afutage
394,affuter,affuter,v.tr.,1,afuter
395,affuteur,affuteur,n.,1,afuteur
395,affuteuse,affuteur,n.,1,afuteuse
396,affutiaux,affutiaux,n.m.pl.,1 2,afutiaus
397,afocaux,afocal,adj.m.pl.,2,afocaus
398,agammaglobulinémie,agammaglobulinémie,n.f.,1,agamaglobulinémie
399,agapanthe,agapanthe,n.f.,3,agapante
400,aggiornamento,aggiornamento,n.m.,1,agiornamento
401,agglo,agglo,n.m.,1,aglo
402,agglomérat,agglomérat,n.m.,1,aglomérat
403,agglomération,agglomération,n.f.,1,aglomération
404,aggloméré,aggloméré,n.m.,1,agloméré
405,agglomérer,agglomérer,v.tr.,1,aglomérer
406,agglutinant,agglutinant,adj.,1,aglutinant
406,agglutinante,agglutinant,adj.,1,aglutinante
407,agglutination,agglutination,n.f.,1,aglutination
408,agglutiner,agglutiner,v.tr.,1,aglutiner
409,agglutinine,agglutinine,n.f.,1,aglutinine
410,agglutinogène,agglutinogène,n.m.,1,aglutinogène
411,aggravant,aggravant,adj.,1,agravant
411,aggravante,aggravant,adj.,1,agravante
412,aggravation,aggravation,n.f.,1,agravation
413,aggravée,aggravée,n.f.,1,agravée
414,aggraver,aggraver,v.tr.,1,agraver
415,agha,agha,n.m.,* 3’,aga
416,aglycone,aglycone,n.m.,3,aglicone
416,aglycone,aglycone,n.f.,3,aglicone
417,aglyphe,aglyphe,adj.,3,aglife
417,aglyphe,aglyphe,n.m.,3,aglife
418,agnathe,agnathe,adj.,3,agnate
418,agnathe,agnathe,n.m.,3,agnate
419,agnelle,agneau,n.f.,1,agnèle
419,agneaux,agneau,n.m.pl.,2,agneaus
420,agoraphobe,agoraphobe,adj.,3,agorafobe
420,agoraphobe,agoraphobe,n.,3,agorafobe
421,agoraphobie,agoraphobie,n.f.,3,agorafobie
422,agrammatical,agrammatical,adj.,1,agramatical
422,agrammaticale,agrammatical,adj.,1,agramaticale
422,agrammaticaux,agrammatical,adj.,1 2,agramaticaus
423,agrammatisme,agrammatisme,n.m.,1,agramatisme
424,agranulocytose,agranulocytose,n.f.,3,agranulocitose
425,agraphie,agraphie,n.f.,3,agrafie
426,agrippement,agrippement,n.m.,1,agripement
427,agripper,agripper,v.tr.,1,agriper
428,agropastoraux,agropastoral,adj.m.pl.,2,agropastoraus
429,agrosystème,agrosystème,n.m.,3,agrosistème
430,aguerrir,aguerrir,v.tr.,1,aguérir
431,ahan,ahan,n.m.,3’,aan
432,ahaner,ahaner,v.intr.,3’,aaner
