#ligne,Grafie initiale,Lème,Catégorie,Raison,Grafie modifiée
8560,magdalénienne,magdalénien,adj.f.,1,magdaléniène
8561,magicienne,magicien,n.f.,1,magiciène
8562,magistraux,magistral,adj.m.pl.,2,magistraus
8563,magnanarelle,magnanarelle,n.f.,1,magnanarèle
8564,magnésienne,magnésien,adj.f.,1,magnésiène
8565,magnétocassette,magnétocassette,n.m.,1,magnétocassète
8566,magnétodynamique,magnétodynamique,adj.,3,magnétodinamique
8567,magnétohydrodynamique,magnétohydrodynamique,n.f.,3,magnéto-idrodinamique
8568,magnétophone,magnétophone,n.m.,3,magnétofone
8569,magnétosphère,magnétosphère,n.f.,3,magnétosfère
8570,maharadja,maharadja,n.m.,3’,maaradja
8571,maharaja,maharaja,n.m.,3’,maaraja
8572,maharajah,maharajah,n.m.,3’,maaraja
8573,maharané,maharané,n.f.,3’,maarané
8574,maharani,maharani,n.f.,3’,maarani
8575,mahatma,mahatma,n.m.,3’,maatma
8576,mahdi,mahdi,n.m.,3’,madi
8577,mahdisme,mahdisme,n.m.,3’,madisme
8578,mahdiste,mahdiste,adj.,3’,madiste
8578,mahdiste,mahdiste,n.,3’,madiste
8579,mahjong,mahjong,n.m.,* 3’,majong
8580,mah-jong,mah-jong,n.m.,* 3’,majong
8581,mahonia,mahonia,n.m.,3’,maonia
8582,mahonne,mahonne,n.f.,1 3’,maone
8583,mahous,mahous,adj.,3’,maous
8583,mahousse,mahous,adj.f.,3’,maousse
8584,maigrelette,maigrelet,adj.f.,1,maigrelète
8585,maigrichonne,maigrichon,adj.f.,1,maigrichone
8586,maigriotte,maigriot,adj.f.,1,maigriote
8587,maintienne,maintenir,v.tr.,1,maintiène
8588,maisonnée,maisonnée,n.f.,1,maisonée
8589,maisonnerie,maisonnerie,n.f.,1,maisonerie
8590,maisonnette,maisonnette,n.f.,1,maisonète
8591,majestueux,majestueux,adj.m.sg.pl.,2,majestueus
8592,majoraux,majoral,n.m.pl.,2,majoraus
8593,majorette,majorette,n.f.,1,majorète
8594,malachite,malachite,n.f.,3,malaquite
8594,malachite,malachite,n.f.,,malachite
8595,malappris,malappris,n.,1,malapris
8595,malapprise,malappris,n.,1,malaprise
8596,malayo-polynésienne,malayo-polynésien,adj.f.,1,malayo-polynésiène
8597,malbouffe,malbouffe,n.f.,1,malboufe
8598,malchanceux,malchanceux,adj.m.sg.pl.,2,malchanceus
8599,malcommode,malcommode,adj.,1,malcomode
8600,maldonne,maldonne,n.f.,1,maldone
8601,malencontreux,malencontreux,adj.m.sg.pl.,2,malencontreus
8602,malgracieux,malgracieux,adj.m.sg.pl.,2,malgracieus
8603,malhabile,malhabile,adj.,3’,malabile
8604,malhabilement,malhabilement,adv.,3’,malabilement
8605,malheur,malheur,n.m.,3’,maleur
8606,malheureusement,malheureusement,adv.,3’,maleureusement
8607,malheureux,malheureux,adj.,2 3’,maleureus
8607,malheureuse,malheureux,adj.,3’,maleureuse
8607,malheureux,malheureux,n.,2 3’,maleureus
8607,malheureuse,malheureux,n.,3’,maleureuse
8608,malhonnête,malhonnête,adj.,1 3’,malonête
8609,malhonnêtement,malhonnêtement,adv.,1 3’,malonêtement
8610,malhonnêteté,malhonnêteté,n.f.,1 3’,malonêteté
8611,malicieux,malicieux,adj.m.sg.pl.,2,malicieus
8612,malintentionné,malintentionné,adj.,1,malintentioné
8612,malintentionnée,malintentionné,adj.,1,malintentionée
8613,malle,malle,n.f.,1,male
8614,malléabilisation,malléabilisation,n.f.,1,maléabilisation
8615,malléabiliser,malléabiliser,v.tr.,1,maléabiliser
8616,malléabilité,malléabilité,n.f.,1,maléabilité
8617,malléable,malléable,adj.,1,maléable
8618,malléolaire,malléolaire,adj.,1,maléolaire
8619,malléole,malléole,n.f.,1,maléole
8620,malletier,malletier,n.m.,1,maletier
8621,mallette,mallette,n.f.,1,malète
8622,malocclusion,malocclusion,n.f.,1,maloclusion
8623,malsonnant,malsonnant,adj.,1,malsonant
8623,malsonnante,malsonnant,adj.,1,malsonante
8624,malthusienne,malthusien,adj.f.,1,malthusiène
8624,malthusienne,malthusien,n.f.,1,malthusiène
8625,mamelle,mamelle,n.f.,1,mamèle
8626,mamelonné,mamelonné,adj.,1,mameloné
8626,mamelonnée,mamelonné,adj.,1,mamelonée
8627,mamillaire,mamillaire,adj.,1,mamilaire
8627,mamillaire,mamillaire,n.f.,1,mamilaire
8628,mammaire,mammaire,adj.,1,mamaire
8629,mammalien,mammalien,adj.,1,mamalien
8629,mammaliène,mammalien,adj.,1,mamaliène
8630,mammalogie,mammalogie,n.f.,1,mamalogie
8631,mammectomie,mammectomie,n.f.,1,mamectomie
8632,mammifère,mammifère,adj.,1,mamifère
8632,mammifère,mammifère,n.m.,1,mamifère
8633,mammite,mammite,n.f.,1,mamite
8634,mammographie,mammographie,n.f.,1 3,mamografie
8635,mammouth,mammouth,n.m.,1 3’,mamout
8636,mammy,mammy,n.f.,1 3’,mamie
8637,mam’selle,mam’selle,n.f.,1,mam’sèle
8638,mam’zelle,mam’zelle,n.f.,1,mam’zèle
8639,managériaux,managérial,adj.m.pl.,2,managériaus
8640,mancelle,mancelle,n.f.,1,mancèle
8641,manchette,manchette,n.f.,1,manchète
8642,mandarinaux,mandarinal,adj.m.pl.,2,mandarinaus
8643,mandrill,mandrill,n.m.,1,mandril
8644,manette,manette,n.f.,1,manète
8645,manganeux,manganeux,adj.m.sg.pl.,2,manganeus
8646,manichéen,manichéen,n.,3,maniquéen
8646,manichéenne,manichéen,n.,1 3,maniquéène
8646,manichéen,manichéen,adj.,3,maniquéen
8646,manichéenne,manichéen,adj.,1 3,maniquéène
8647,manichéisme,manichéisme,n.m.,3,maniquéisme
8648,manichéiste,manichéiste,n.,3,maniquéiste
8648,manichéiste,manichéiste,adj.,3,maniquéiste
8649,manichordion,manichordion,n.m.,* 3,manicordion
8650,maniguette,maniguette,n.f.,1,maniguète
8651,manivelle,manivelle,n.f.,1,manivèle
8652,manne,manne,n.f.,1,mane
8653,mannequin,mannequin,n.m.,1,manequin
8654,mannequinat,mannequinat,n.m.,1,manequinat
8655,mannite,mannite,n.f.,1,manite
8656,mannitol,mannitol,n.m.,1,manitol
8657,mannose,mannose,n.m.,1,manose
8658,manœuvrabilité,manœuvrabilité,n.f.,3’,maneuvrabilité
8659,manœuvrable,manœuvrable,adj.,3’,maneuvrable
8660,manœuvre,manœuvre,n.f.,3’,maneuvre
8661,manœuvre,manœuvre,n.m.,3’,maneuvre
8662,manœuvrer,manœuvrer,v.,3’,maneuvrer
8663,manœuvrier,manœuvrier,n.,3’,maneuvrier
8663,manœuvrière,manœuvrier,n.,3’,maneuvrière
8664,manographe,manographe,n.m.,3,manografe
8665,manteaux,manteau,n.m.pl.,2,manteaus
8666,mantellique,mantellique,adj.,1,mantélique
8667,manuelle,manuel,adj.f.,1,manuèle
8668,manuellement,manuellement,adv.,1,manuèlement
8669,manutentionnaire,manutentionnaire,n.,1,manutentionaire
8670,manutentionner,manutentionner,v.tr.,1,manutentioner
8671,mappage,mappage,n.m.,1,mapage
8672,mappe,mappe,n.f.,1,mape
8673,mappemonde,mappemonde,n.f.,1,mapemonde
8674,mapper,mapper,v.tr.,1,maper
8675,maquereaux,maquereau,n.m.pl.,2,maquereaus
8676,maquerelle,maquerelle,n.f.,1,maquerèle
8677,maquettage,maquettage,n.m.,1,maquétage
8678,maquette,maquette,n.f.,1,maquète
8679,maquetter,maquetter,v.tr.,1,maquéter
8679,maquette,maquetter,v.tr.,1,maquète
8680,maquettisme,maquettisme,n.m.,1,maquétisme
8681,maquettiste,maquettiste,n.,1,maquétiste
8682,maquignonnage,maquignonnage,n.m.,1,maquignonage
8683,maquignonner,maquignonner,v.tr.,1,maquignoner
8684,marathon,marathon,n.m.,3,maraton
8685,marathonien,marathonien,n.,3,maratonien
8685,marathonienne,marathonien,n.,1 3,maratoniène
8686,marchette,marchette,n.f.,1,marchète
8687,marcottage,marcottage,n.m.,1,marcotage
8688,marcotte,marcotte,n.f.,1,marcote
8689,marcotter,marcotter,v.tr.,1,marcoter
8690,marécageux,marécageux,adj.m.sg.pl.,2,marécageus
8691,maréchal-ferrant,maréchal-ferrant,n.m.,1,maréchal-férant
8692,maréchaux,maréchal,n.m.pl.,2,maréchaus
8693,marégramme,marégramme,n.m.,1,marégrame
8694,marégraphe,marégraphe,n.m.,3,marégrafe
8695,marelle,marelle,n.f.,1,marèle
8696,margelle,margelle,n.f.,1,margèle
8697,marginaux,marginal,adj.m.pl.,2,marginaus
8697,marginaux,marginal,n.m.pl.,2,marginaus
8698,margotter,margotter,v.intr.,* 1,margoter
8699,margoulette,margoulette,n.f.,1,margoulète
8700,mariaux,marial,adj.m.pl.,2,mariaus
8701,marie-jeanne,marie-jeanne,n.f.inv.,1,marie-jeane
8702,mariolle,mariolle,adj.,* 1,mariole
8702,mariolle,mariolle,n.,* 1,mariole
8703,marionnette,marionnette,n.f.,1,marionète
8704,marionnettiste,marionnettiste,n.,1,marionétiste
8705,maritaux,marital,adj.m.pl.,2,maritaus
8706,markette,marketer,v.tr.,1,markète
8707,marmenteaux,marmenteau,adj.m.pl.,2,marmenteaus
8707,marmenteaux,marmenteau,n.m.pl.,2,marmenteaus
8708,marmonnement,marmonnement,n.m.,1,marmonement
8709,marmonner,marmonner,v.tr.,1,marmoner
8710,marmoréenne,marmoréen,adj.f.,1,marmoréène
8711,marmotte,marmotte,n.f.,1,marmote
8712,marmottement,marmottement,n.m.,1,marmotement
8713,marmotter,marmotter,v.tr.,1,marmoter
8714,marneux,marneux,adj.m.sg.pl.,2,marneus
8715,maroilles,maroilles,n.m.,1,maroiles
8716,maronner,maronner,v.intr.,1,maroner
8717,marotte,marotte,n.f.,1,marote
8718,marouette,marouette,n.f.,1,marouète
8719,marrade,marrade,n.f.,1,marade
8720,marraine,marraine,n.f.,1,maraine
8721,marrane,marrane,n.,1,marane
8722,marrant,marrant,adj.,1,marant
8722,marrante,marrant,adj.,1,marante
8723,marre,marre,adv.,1,mare
8724,marrer (se),marrer (se),v.pron.,1,marer (se)
8725,marri,marri,adj.,1,mari
8725,marrie,marri,adj.,1,marie
8726,marron,marron,adj.inv.,1,maron
8727,marron,marron,n.m.,1,maron
8728,marron,marron,adj.,1,maron
8728,marrone,marron,adj.,1,marone
8729,marronnasse,marronnasse,adj.,1,maronasse
8730,marronnier,marronnier,n.m.,1,maronier
8731,marrube,marrube,n.m.,1,marube
8732,marshmallow,marshmallow,n.m.,1,marshmalow
8733,marsupiaux,marsupial,adj.m.pl.,2,marsupiaus
8733,marsupiaux,marsupial,n.m.pl.,2,marsupiaus
8734,marteaux,marteau,n.m.pl.,2,marteaus
8735,martiaux,martial,adj.m.pl.,2,martiaus
8736,martienne,martien,adj.f.,1,martiène
8736,martienne,martien,n.f.,1,martiène
8737,martyr,martyr,n.,3,martir
8737,martyre,martyr,n.,3,martire
8738,martyre,martyre,n.m.,3,martire
8739,martyriser,martyriser,v.tr.,3,martiriser
8740,martyrium,martyrium,n.m.,3,martirium
8741,martyrologe,martyrologe,n.m.,3,martirologe
8742,mascotte,mascotte,n.f.,1,mascote
8743,masselotte,masselotte,n.f.,1,masselote
8744,massette,massette,n.f.,1,massète
8745,massorah,massorah,n.f.,3’,massora
8746,mastiff,mastiff,n.m.,1,mastif
8747,mastocyte,mastocyte,n.m.,3,mastocite
8748,mastocytose,mastocytose,n.f.,3,mastocitose
8749,mastoïdienne,mastoïdien,adj.f.,1,mastoïdiène
8750,mâtereaux,mâtereau,n.m.pl.,2,mâtereaus
8751,matériaux,matériau,n.m.pl.,2,matériaus
8752,matériaux,matériaux,n.m.pl.,2,matériaus
8753,matérielle,matériel,adj.f.,1,matérièle
8754,matériellement,matériellement,adv.,1,matérièlement
8755,maternelle,maternel,adj.f.,1,maternèle
8756,maternellement,maternellement,adv.,1,maternèlement
8757,math,math,n.f.pl.,3,mat
8757,maths,math,n.f.pl.,3,mats
8758,mathématicien,mathématicien,n.,3,matématicien
8758,mathématicienne,mathématicien,n.,1 3,matématiciène
8759,mathématique,mathématique,adj.,3,matématique
8759,mathématique,mathématique,n.f.,3,matématique
8760,mathématiquement,mathématiquement,adv.,3,matématiquement
8761,mathématisation,mathématisation,n.f.,3,matématisation
8762,mathématiser,mathématiser,v.tr.,3,matématiser
8763,matheux,matheux,n.,2 3,mateus
8763,matheuse,matheux,n.,3,mateuse
8764,mathusalem,mathusalem,n.m.,3’,matusalem
8765,matinaux,matinal,adj.m.pl.,2,matinaus
8766,matineux,matineux,adj.m.sg.pl.,2,matineus
8767,matonne,maton,n.f.,1,matone
8768,matriarcaux,matriarcal,adj.m.pl.,2,matriarcaus
8769,matricielle,matriciel,adj.f.,1,matricièle
8770,matrilocaux,matrilocal,adj.m.pl.,2,matrilocaus
8771,matrimoniaux,matrimonial,adj.m.pl.,2,matrimoniaus
8772,matronyme,matronyme,n.m.,3,matronime
8773,matronymique,matronymique,adj.,3,matronimique
8774,matte,matte,n.f.,1,mate
8775,matthiole,matthiole,n.f.,1 3’,matiole
8776,matutinaux,matutinal,adj.m.pl.,2,matutinaus
8777,maurelle,maurelle,n.f.,1,maurèle
8778,mauviette,mauviette,n.f.,1,mauviète
8779,maux,mal,n.m.pl.,2,maus
8780,maxillaire,maxillaire,adj.,1,maxilaire
8780,maxillaire,maxillaire,n.m.,1,maxilaire
8781,maxille,maxille,n.f.,1,maxile
8782,maxillofacial,maxillofacial,adj.,1,maxilofacial
8782,maxillofaciale,maxillofacial,adj.,1,maxilofaciale
8782,maxillofaciaux,maxillofacial,adj.,1 2,maxilofaciaus
8783,maximaux,maximal,adj.m.pl.,2,maximaus
8784,maye,maye,n.f.,3’,maie
8785,mayonnaise,mayonnaise,adj.,1,mayonaise
8785,mayonnaise,mayonnaise,n.f.,1,mayonaise
8786,mazdéenne,mazdéen,adj.,1,mazdéène
8787,mazette,mazette,n.f.,1,mazète
8788,mécanicienne,mécanicien,n.f.,1,mécaniciène
8788,mécanicienne,mécanicien,adj.f.,1,mécaniciène
8789,mécanographe,mécanographe,n.,3,mécanografe
8790,mécanographie,mécanographie,n.f.,3,mécanografie
8791,mécanographique,mécanographique,adj.,3,mécanografique
8792,mécanothérapie,mécanothérapie,n.f.,3,mécanotérapie
8793,méchamment,méchamment,adv.,1,méchament
8794,mécheux,mécheux,adj.m.sg.pl.,2,mécheus
8795,méconnaissable,méconnaissable,adj.,1,méconaissable
8796,méconnaissance,méconnaissance,n.f.,1,méconaissance
8797,méconnaitre,méconnaitre,v.tr.,1,méconaitre
8798,méconnu,méconnu,adj.,1,méconu
8798,méconnue,méconnu,adj.,1,méconue
8799,médiagraphie,médiagraphie,n.f.,3,médiagrafie
8800,médiathécaire,médiathécaire,n.,3,médiatécaire
8801,médiathèque,médiathèque,n.f.,3,médiatèque
8802,médicaux,médical,adj.m.pl.,2,médicaus
8803,médicamenteux,médicamenteux,adj.m.sg.pl.,2,médicamenteus
8804,médicinaux,médicinal,adj.m.pl.,2,médicinaus
8805,médicochirurgicaux,médicochirurgical,adj.m.pl.,2,médicochirurgicaus
8806,médicolégaux,médicolégal,adj.m.pl.,2,médicolégaus
8807,médicosociaux,médicosocial,adj.m.pl.,2,médicosociaus
8808,médiévaux,médiéval,adj.m.pl.,2,médiévaus
8809,méditerranéenne,méditerranéen,adj.f.,1,méditerranéène
8809,méditerranéenne,méditerranéen,n.f.,1,méditerranéène
8810,médullaire,médullaire,adj.,1,médulaire
8811,médulleux,médulleux,adj.,1 2,méduleus
8811,médulleuse,médulleux,adj.,1,méduleuse
8812,médullosurrénale,médullosurrénale,n.f.,1,médulosurénale
8813,mégacéphalie,mégacéphalie,n.f.,3,mégacéfalie
8814,mégacycle,mégacycle,n.m.,3,mégacicle
8815,mégalithe,mégalithe,n.m.,3,mégalite
8816,mégalithique,mégalithique,adj.,3,mégalitique
8817,mégalocéphalie,mégalocéphalie,n.f.,3,mégalocéfalie
8818,mégaphone,mégaphone,n.m.,3,mégafone
8819,mégathérium,mégathérium,n.m.,3,mégatérium
8820,mégatonne,mégatonne,n.f.,1,mégatone
8821,méharée,méharée,n.f.,3’,méarée
8822,méhari,méhari,n.m.,3’,méari
8823,méhariste,méhariste,n.,3’,méariste
8824,mélæna,mélæna,n.m.,* 3,méléna
8825,mélampyre,mélampyre,n.m.,3,mélampire
8826,mélanésienne,mélanésien,adj.f.,1,mélanésiène
8826,mélanésienne,mélanésien,n.f.,1,mélanésiène
8827,mélanocyte,mélanocyte,n.m.,3,mélanocite
8828,melchior,melchior,n.m.,3’,melquior
8829,mélitte,mélitte,n.f.,1,mélite
8830,melchite,melchite,n.,* 3’,melkite
8831,mellifère,mellifère,adj.,1,mélifère
8832,mellification,mellification,n.f.,1,mélification
8833,melliflu,melliflu,adj.,1,méliflu
8833,melliflue,melliflu,adj.,1,méliflue
8834,mellite,mellite,n.m.,1,mélite
8835,mélodieux,mélodieux,adj.m.sg.pl.,2,mélodieus
8836,melonnière,melonnière,n.f.,1,melonière
8837,mélophage,mélophage,n.m.,3,mélofage
8838,membraneux,membraneux,adj.m.sg.pl.,2,membraneus
8839,membranophone,membranophone,n.m.,3,membranofone
8840,mémoriaux,mémorial,n.m.pl.,2,mémoriaus
8841,mémorielle,mémoriel,adj.f.,1,mémorièle
8842,mendélienne,mendélien,adj.f.,1,mendéliène
8843,meneaux,meneau,n.m.pl.,2,meneaus
8844,menhir,menhir,n.m.,3’,ménir
8845,méniscaux,méniscal,adj.m.pl.,2,méniscaus
8846,mennonite,mennonite,n.,1,ménonite
8846,mennonite,mennonite,adj.,1,ménonite
8847,ménorah,ménorah,n.f.,3’,ménora
8848,ménorragie,ménorragie,n.f.,1,ménoragie
8849,menotte,menotte,n.f.,1,menote
8850,menotter,menotter,v.tr.,1,menoter
8851,menstruelle,menstruel,adj.f.,1,menstruèle
8852,mensuelle,mensuel,adj.f.,1,mensuèle
8853,mensuellement,mensuellement,adv.,1,mensuèlement
8854,mentaux,mental,adj.m.pl.,2,mentaus
8855,menthe,menthe,n.f.,3’,mente
8856,menthol,menthol,n.m.,3’,mentol
8857,mentholé,mentholé,adj.,3’,mentolé
8857,mentholée,mentholé,adj.,3’,mentolée
8858,mentionner,mentionner,v.tr.,1,mentioner
8859,mentonnet,mentonnet,n.m.,1,mentonet
8860,mentonnier,mentonnier,adj.,1,mentonier
8860,mentonnière,mentonnier,adj.,1,mentonière
8861,mentonnière,mentonnière,n.f.,1,mentonière
8862,ményanthe,ményanthe,n.m.,3,méniante
8863,méphitique,méphitique,adj.,3’,méfitique
8864,méprenne (se),méprendre (se),v.pron.,1,méprène (se)
8865,mercaticienne,mercaticien,n.f.,1,mercaticiène
8866,mercureux,mercureux,adj.m.sg.pl.,2,mercureus
8867,mercurielle,mercuriel,adj.f.,1,mercurièle
8868,merdeux,merdeux,adj.m.sg.pl.,2,merdeus
8868,merdeux,merdeux,n.m.sg.pl.,2,merdeus
8869,méridienne,méridien,adj.f.,1,méridiène
8869,méridienne,méridien,n.f.,1,méridiène
8870,méridienne,méridienne,n.f.,1,méridiène
8871,méridionaux,méridional,adj.m.pl.,2,méridionaus
8872,merleaux,merleau,n.m.pl.,2,merleaus
8873,merlette,merlette,n.f.,1,merlète
8874,mérovingienne,mérovingien,adj.f.,1,mérovingiène
8874,mérovingienne,mérovingien,n.f.,1,mérovingiène
8875,merrain,merrain,n.m.,1,mérain
8876,merveilleux,merveilleux,adj.m.sg.pl.,2,merveilleus
8877,mérycisme,mérycisme,n.m.,3,méricisme
8878,mésalliance,mésalliance,n.f.,1,mésaliance
8879,mésallier (se),mésallier (se),v.pron.,1,mésalier (se)
8880,mésangette,mésangette,n.f.,1,mésangète
8881,mesdemoiselles,mesdemoiselles,n.f.pl.,1,mesdemoisèles
8882,mésencéphale,mésencéphale,n.m.,3,mésencéfale
8883,mésenchymateux,mésenchymateux,adj.,2 3,mésenchimateus
8883,mésenchymateuse,mésenchymateux,adj.,3,mésenchimateuse
8884,mésenchyme,mésenchyme,n.m.,3,mésenchime
8885,mésintelligence,mésintelligence,n.f.,1,mésintéligence
8886,mésolithique,mésolithique,n.m.,3,mésolitique
8886,mésolithique,mésolithique,adj.,3,mésolitique
8887,mésomorphe,mésomorphe,adj.,3,mésomorfe
8888,mésopotamienne,mésopotamien,adj.f.,1,mésopotamiène
8888,mésopotamienne,mésopotamien,n.f.,1,mésopotamiène
8889,mésoscaphe,mésoscaphe,n.m.,3,mésoscafe
8890,mésosphère,mésosphère,n.f.,3,mésosfère
8891,mésothérapeute,mésothérapeute,n.,3,mésotérapeute
8892,mésothérapie,mésothérapie,n.f.,3,mésotérapie
8893,mésothorax,mésothorax,n.m.,3,mésotorax
8894,mesurette,mesurette,n.f.,1,mesurète
8895,métacarpienne,métacarpien,adj.f.,1,métacarpiène
8896,métadonnée,métadonnée,n.f.,1,métadonée
8897,métaux,métal,n.m.pl.,2,métaus
8898,métaldéhyde,métaldéhyde,n.m.,3,métaldéide
8898,métaldéhyde,métaldéhyde,n.f.,3,métaldéide
8899,métallier,métallier,n.,1,métalier
8899,métallière,métallier,n.,1,métalière
8900,métallifère,métallifère,adj.,1,métalifère
8901,métallique,métallique,adj.,1,métalique
8902,métallisation,métallisation,n.f.,1,métalisation
8903,métallisé,métallisé,adj.,1,métalisé
8903,métallisée,métallisé,adj.,1,métalisée
8904,métalliser,métalliser,v.tr.,1,métaliser
8905,métallo,métallo,n.m.,1,métalo
8906,métallochromie,métallochromie,n.f.,1 3,métalocromie
8907,métallographie,métallographie,n.f.,1 3,métalografie
8908,métallographique,métallographique,adj.,1 3,métalografique
8909,métalloïde,métalloïde,n.m.,1,métaloïde
8910,métallophone,métallophone,n.m.,1 3,métalofone
8911,métalloplastique,métalloplastique,adj.,1,métaloplastique
8912,métalloprotéine,métalloprotéine,n.f.,1,métaloprotéine
8913,métallurgie,métallurgie,n.f.,1,métalurgie
8914,métallurgique,métallurgique,adj.,1,métalurgique
8915,métallurgiste,métallurgiste,adj.,1,métalurgiste
8915,métallurgiste,métallurgiste,n.m.,1,métalurgiste
8916,métamathématique,métamathématique,n.f.,3,métamatématique
8917,métamorphique,métamorphique,adj.,3,métamorfique
8918,métamorphiser,métamorphiser,v.tr.,3,métamorfiser
8919,métamorphisme,métamorphisme,n.m.,3,métamorfisme
8920,métamorphosable,métamorphosable,adj.,3,métamorfosable
8921,métamorphose,métamorphose,n.f.,3,métamorfose
8922,métamorphoser,métamorphoser,v.tr.,3,métamorfoser
8923,métaphase,métaphase,n.f.,3,métafase
8924,métaphasique,métaphasique,adj.,3,métafasique
8925,métaphore,métaphore,n.f.,3,métafore
8926,métaphorique,métaphorique,adj.,3,métaforique
8927,métaphoriquement,métaphoriquement,adv.,3,métaforiquement
8928,métaphosphorique,métaphosphorique,adj.,3,métafosforique
8929,métaphysaire,métaphysaire,adj.,3,métafisaire
8930,métaphyse,métaphyse,n.f.,3,métafise
8931,métaphysicien,métaphysicien,n.,3,métafisicien
8931,métaphysicienne,métaphysicien,n.,1 3,métafisiciène
8932,métaphysique,métaphysique,adj.,3,métafisique
8933,métaphysique,métaphysique,n.f.,3,métafisique
8934,métaphysiquement,métaphysiquement,adv.,3,métafisiquement
8935,métapsychique,métapsychique,adj.,3,métapsichique
8935,métapsychique,métapsychique,n.f.,3,métapsichique
8936,métapsychologie,métapsychologie,n.f.,3,métapsicologie
8937,métatarsienne,métatarsien,adj.f.,1,métatarsiène
8938,métathèse,métathèse,n.f.,3,métatèse
8939,métathorax,métathorax,n.m.,3,métatorax
8940,métempsychose,métempsychose,n.f.,3,métempsicose
8941,métempsycose,métempsycose,n.f.,3,métempsicose
8942,métencéphale,métencéphale,n.m.,3,métencéfale
8943,méthacrylique,méthacrylique,adj.,3,métacrilique
8944,méthadone,méthadone,n.f.,3,métadone
8945,méthamphétamine,méthamphétamine,n.f.,3,métanfétamine
8946,méthanal,méthanal,n.m.,3,métanal
8947,méthane,méthane,n.m.,3,métane
8948,méthanier,méthanier,n.m.,3,métanier
8949,méthanisation,méthanisation,n.f.,3,métanisation
8950,méthanogène,méthanogène,adj.,3,métanogène
8950,méthanogène,méthanogène,n.m.,3,métanogène
8951,méthémoglobine,méthémoglobine,n.f.,3,métémoglobine
8952,méthionine,méthionine,n.f.,3,métionine
8953,méthode,méthode,n.f.,3,métode
8954,méthodique,méthodique,adj.,3,métodique
8955,méthodiquement,méthodiquement,adv.,3,métodiquement
8956,méthodologie,méthodologie,n.f.,3,métodologie
8957,méthodologique,méthodologique,adj.,3,métodologique
8958,méthylation,méthylation,n.f.,3,métilation
8959,méthyle,méthyle,n.m.,3,métile
8960,méthylène,méthylène,n.m.,3,métilène
8961,méthylique,méthylique,adj.,3,métilique
8962,méticuleux,méticuleux,adj.m.sg.pl.,2,méticuleus
8963,métonymie,métonymie,n.f.,3,métonimie
8964,métonymique,métonymique,adj.,3,métonimique
8965,métricienne,métricien,n.f.,1,métriciène
8966,métrorragie,métrorragie,n.f.,1,métroragie
8967,mettable,mettable,adj.,1,métable
8968,metteur,metteur,n.,1,méteur
8968,metteuse,metteur,n.,1,méteuse
8969,mette,mettre,v.tr.,1,mète
8969,mettre,mettre,v.tr.,1,mètre
8970,meurette,meurette,n.f.,1,meurète
8971,mezze,mezze,n.m.,1,méze
8972,mezzé,mezzé,n.m.,1,mézé
8973,micellaire,micellaire,adj.,1,micélaire
8974,micelle,micelle,n.f.,1,micèle
8975,michetonner,michetonner,v.intr.,1,michetoner
8976,microanalyse,microanalyse,n.f.,3,microanalise
8977,microbienne,microbien,adj.f.,1,microbiène
8978,microcéphale,microcéphale,adj.,3,microcéfale
8978,microcéphale,microcéphale,n.,3,microcéfale
8979,microcéphalie,microcéphalie,n.f.,3,microcéfalie
8980,microcinématographie,microcinématographie,n.f.,3,microcinématografie
8981,microcristaux,microcristal,n.m.pl.,2,microcristaus
8982,microgramme,microgramme,n.m.,1,micrograme
8983,micrographie,micrographie,n.f.,3,micrografie
8984,micrographique,micrographique,adj.,3,micrografique
8985,microlithe,microlithe,n.m.,* 3,microlite
8986,microlithique,microlithique,adj.,* 3,microlitique
8987,micronoyaux,micronoyau,n.m.pl.,2,micronoyaus
8988,microphage,microphage,adj.,3,microfage
8988,microphage,microphage,n.m.,3,microfage
8989,microphone,microphone,n.m.,3,microfone
8990,microphonique,microphonique,adj.,3,microfonique
8991,microphotographie,microphotographie,n.f.,3,microfotografie
8992,microphysique,microphysique,n.f.,3,microfisique
8993,microporeux,microporeux,adj.m.sg.pl.,2,microporeus
8994,microprogrammation,microprogrammation,n.f.,1,microprogramation
8995,microprogramme,microprogramme,n.m.,1,microprograme
8996,micropyle,micropyle,n.m.,3,micropile
8997,microsphère,microsphère,n.f.,3,microsfère
8998,midinette,midinette,n.f.,1,midinète
8999,miellat,miellat,n.m.,1,miélat
9000,miellé,miellé,adj.,1,miélé
9000,miellée,miellé,adj.,1,miélée
9001,miellée,miellée,n.f.,1,miélée
9002,mielleusement,mielleusement,adv.,1,miéleusement
9003,mielleux,mielleux,adj.,1 2,miéleus
9003,mielleuse,mielleux,adj.,1,miéleuse
9004,mienne,mien,adj.poss.f.,1,miène
9004,mienne,mien,pron.poss.f.,1,miène
9005,miette,miette,n.f.,1,miète
9006,mieux,mieux,adv.,2,mieus
9007,mignonnet,mignonnet,adj.,1,mignonet
9007,mignonnette,mignonnet,adj.,1,mignonète
9007,mignonnet,mignonnet,n.,1,mignonet
9007,mignonnette,mignonnet,n.,1,mignonète
9008,mignonnette,mignonnette,n.f.,1,mignonète
9009,migraineux,migraineux,adj.m.sg.pl.,2,migraineus
9010,mihrab,mihrab,n.m.,3’,mirab
9011,milicienne,milicien,n.f.,1,miliciène
9012,millage,millage,n.m.,1,milage
